=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.02 16:03:09 =~=~=~=~=~=~=~=~=~=~=~=
Waiting for GPS Fix
GPS Fix obtained at;15:03:09.000:000:000:;Date:2/12/2021
Coincidence;15:06:43.843:497:984:;
Coincidence;15:06:45.482:370:848:;
Coincidence;15:06:45.901:738:816:;
Coincidence;15:06:46.892:573:632:;
Coincidence;15:06:47.441:610:112:;
Coincidence;15:06:48.748:846:592:;
Coincidence;15:06:49.773:975:488:;
Coincidence;15:06:51.142:038:896:;
Coincidence;15:06:51.409:999:072:;
Coincidence;15:06:51.649:591:808:;
Coincidence;15:06:52.043:754:328:;
Coincidence;15:06:53.259:799:568:;
Coincidence;15:06:53.307:682:368:;
Coincidence;15:06:53.390:124:480:;
Coincidence;15:06:53.559:795:456:;
Coincidence;15:06:53.952:431:424:;
Coincidence;15:06:54.975:295:360:;
Coincidence;15:06:56.047:624:936:;
Coincidence;15:06:56.210:263:600:;
Coincidence;15:06:57.189:585:536:;
Coincidence;15:06:57.728:039:872:;
Coincidence;15:06:58.228:475:168:;
Coincidence;15:06:58.408:225:216:;
Coincidence;15:06:59.716:706:176:;
Coincidence;15:06:59.787:215:808:;
Coincidence;15:06:59.847:367:232:;
Coincidence;15:07:00.077:060:344:;
Coincidence;15:07:00.269:671:264:;
Coincidence;15:07:00.331:601:312:;
Coincidence;15:07:01.176:116:112:;
Coincidence;15:07:01.443:423:840:;
Coincidence;15:07:01.845:882:624:;
Coincidence;15:07:01.895:105:280:;
Coincidence;15:07:02.533:618:880:;
Coincidence;15:07:02.764:181:888:;
Coincidence;15:07:03.198:110:176:;
Coincidence;15:07:03.207:289:744:;
Coincidence;15:07:03.695:236:928:;
Coincidence;15:07:04.347:749:728:;
Coincidence;15:07:04.710:849:984:;
Coincidence;15:07:04.864:560:576:;
Coincidence;15:07:06.606:545:024:;
Coincidence;15:07:06.626:515:776:;
Coincidence;15:07:08.182:551:792:;
Coincidence;15:07:08.344:480:768:;
Coincidence;15:07:08.383:722:240:;
Coincidence;15:07:08.826:051:072:;
Coincidence;15:07:09.002:405:868:;
Coincidence;15:07:09.094:242:328:;
Coincidence;15:07:09.133:537:344:;
Coincidence;15:07:09.868:284:160:;
Coincidence;15:07:11.508:353:280:;
Coincidence;15:07:11.761:565:184:;
Coincidence;15:07:12.372:061:504:;
Coincidence;15:07:12.593:430:528:;
Coincidence;15:07:13.117:426:880:;
Coincidence;15:07:13.456:339:488:;
Coincidence;15:07:13.537:547:520:;
Coincidence;15:07:13.581:936:576:;
Coincidence;15:07:14.081:372:560:;
Coincidence;15:07:14.113:166:144:;
Coincidence;15:07:14.633:573:376:;
Coincidence;15:07:14.775:629:376:;
Coincidence;15:07:15.011:470:842:;
Coincidence;15:07:17.052:852:528:;
Coincidence;15:07:17.332:872:032:;
Coincidence;15:07:18.664:948:352:;
Coincidence;15:07:18.691:409:856:;
Coincidence;15:07:19.280:508:000:;
Coincidence;15:07:19.501:017:600:;
Coincidence;15:07:19.863:352:064:;
Coincidence;15:07:19.932:535:488:;
Coincidence;15:07:20.350:303:808:;
Coincidence;15:07:20.552:778:176:;
Coincidence;15:07:20.804:789:696:;
Coincidence;15:07:22.990:643:456:;
Coincidence;15:07:23.415:131:936:;
Coincidence;15:07:24.069:847:584:;
Coincidence;15:07:24.270:590:336:;
Coincidence;15:07:24.439:576:032:;
Coincidence;15:07:24.820:497:792:;
Coincidence;15:07:25.722:048:960:;
Coincidence;15:07:25.992:671:360:;
Coincidence;15:07:27.140:066:336:;
Coincidence;15:07:27.581:398:784:;
Coincidence;15:07:27.971:914:880:;
Coincidence;15:07:28.099:020:080:;
Coincidence;15:07:28.301:356:384:;
Coincidence;15:07:28.309:544:416:;
Coincidence;15:07:28.525:146:432:;
Coincidence;15:07:29.116:921:440:;
Coincidence;15:07:29.198:901:728:;
Coincidence;15:07:29.447:548:992:;
Coincidence;15:07:29.789:588:160:;
